Category_1,Category_2,Percentage
0-4,Female,2.5
0-4,Male,2.7
10-14,Female,2.8
10-14,Male,3.1
15-19,Female,2.9
15-19,Male,3.2
20-24,Female,3.4
20-24,Male,3.7
25-29,Female,4.1
25-29,Male,4.2
30-34,Female,4.0
30-34,Male,4.2
35-39,Female,3.3
35-39,Male,3.5
40-44,Female,2.9
40-44,Male,2.7
45-49,Female,3.0
45-49,Male,2.5
5-9,Female,2.8
5-9,Male,3.1
50-54,Female,3.3
50-54,Male,2.8
55-59,Female,3.4
55-59,Male,3.0
60-64,Female,3.5
60-64,Male,3.2
65-69,Female,2.9
65-69,Male,2.7
70-74,Female,2.2
70-74,Male,2.0
75-79,Female,1.5
75-79,Male,1.4
80-84,Female,1.2
80-84,Male,1.0
85+,Female,0.9
85+,Male,0.6
