Category_1,Category_2,Percentage
0-4,Female,5.0
0-4,Male,5.3
10-14,Female,4.7
10-14,Male,4.9
15-19,Female,3.7
15-19,Male,3.8
20-24,Female,3.0
20-24,Male,3.1
25-29,Female,3.3
25-29,Male,3.5
30-34,Female,3.7
30-34,Male,4.0
35-39,Female,3.9
35-39,Male,4.1
40-44,Female,3.6
40-44,Male,3.9
45-49,Female,3.0
45-49,Male,3.2
5-9,Female,5.3
5-9,Male,5.5
50-54,Female,2.6
50-54,Male,2.7
55-59,Female,2.1
55-59,Male,2.2
60-64,Female,1.6
60-64,Male,1.7
65-69,Female,1.3
65-69,Male,1.3
70-74,Female,0.9
70-74,Male,0.9
75-79,Female,0.5
75-79,Male,0.5
80-84,Female,0.3
80-84,Male,0.3
85+,Female,0.2
85+,Male,0.1
