Category_1,Category_2,Percentage
0-4,Female,8.4
0-4,Male,8.5
10-14,Female,6.4
10-14,Male,6.4
15-19,Female,5.2
15-19,Male,5.2
20-24,Female,4.2
20-24,Male,4.2
25-29,Female,3.6
25-29,Male,3.6
30-34,Female,3.2
30-34,Male,3.1
35-39,Female,2.7
35-39,Male,2.6
40-44,Female,2.2
40-44,Male,2.1
45-49,Female,1.8
45-49,Male,1.7
5-9,Female,7.4
5-9,Male,7.5
50-54,Female,1.5
50-54,Male,1.3
55-59,Female,1.2
55-59,Male,1.1
60-64,Female,1.0
60-64,Male,0.8
65-69,Female,0.7
65-69,Male,0.6
70-74,Female,0.4
70-74,Male,0.3
75-79,Female,0.3
75-79,Male,0.2
80-84,Female,0.1
80-84,Male,0.1
85+,Female,0.1
85+,Male,0.0
