Category_1,Category_2,Percentage
0-4,Female,2.9
0-4,Male,3.1
10-14,Female,3.9
10-14,Male,4.2
15-19,Female,3.8
15-19,Male,4.0
20-24,Female,3.7
20-24,Male,3.9
25-29,Female,3.8
25-29,Male,3.9
30-34,Female,3.7
30-34,Male,3.8
35-39,Female,3.5
35-39,Male,3.6
40-44,Female,3.4
40-44,Male,3.5
45-49,Female,3.2
45-49,Male,3.2
5-9,Female,3.9
5-9,Male,4.1
50-54,Female,2.7
50-54,Male,2.7
55-59,Female,2.4
55-59,Male,2.3
60-64,Female,2.3
60-64,Male,2.1
65-69,Female,2.0
65-69,Male,1.8
70-74,Female,1.8
70-74,Male,1.4
75-79,Female,1.4
75-79,Male,1.0
80-84,Female,1.0
80-84,Male,0.6
85+,Female,0.9
85+,Male,0.4
