Category_1,Category_2,Percentage
0-4,Female,2.9
0-4,Male,3.1
10-14,Female,3.3
10-14,Male,3.6
15-19,Female,3.0
15-19,Male,3.1
20-24,Female,3.0
20-24,Male,3.0
25-29,Female,3.4
25-29,Male,3.3
30-34,Female,4.4
30-34,Male,4.1
35-39,Female,4.3
35-39,Male,3.9
40-44,Female,3.9
40-44,Male,3.4
45-49,Female,3.3
45-49,Male,2.7
5-9,Female,3.2
5-9,Male,3.5
50-54,Female,3.1
50-54,Male,2.5
55-59,Female,3.4
55-59,Male,2.6
60-64,Female,4.0
60-64,Male,2.9
65-69,Female,3.2
65-69,Male,2.2
70-74,Female,2.2
70-74,Male,1.3
75-79,Female,1.1
75-79,Male,0.6
80-84,Female,1.0
80-84,Male,0.4
85+,Female,0.8
85+,Male,0.3
