Category_1,Category_2,Percentage
0-4,Female,2.3
0-4,Male,2.4
10-14,Female,2.3
10-14,Male,2.4
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.3
15-19,Male,2.5
20-24,Female,2.5
20-24,Male,2.7
25-29,Female,3.1
25-29,Male,3.2
30-34,Female,3.4
30-34,Male,3.6
35-39,Female,3.4
35-39,Male,3.5
40-44,Female,3.3
40-44,Male,3.4
45-49,Female,3.2
45-49,Male,3.2
5-9,Female,2.4
5-9,Male,2.5
50-54,Female,3.7
50-54,Male,3.6
55-59,Female,3.9
55-59,Male,3.9
60-64,Female,3.6
60-64,Male,3.5
65-69,Female,3.0
65-69,Male,2.7
70-74,Female,2.5
70-74,Male,2.1
75-79,Female,2.1
75-79,Male,1.7
80-84,Female,2.1
80-84,Male,1.5
85-89,Female,1.0
85-89,Male,0.6
90-94,Female,0.5
90-94,Male,0.2
95-99,Female,0.2
95-99,Male,0.0
