Category_1,Category_2,Percentage
0-4,Female,3.1
0-4,Male,3.5
10-14,Female,3.9
10-14,Male,4.3
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.3
15-19,Male,3.7
20-24,Female,3.0
20-24,Male,3.2
25-29,Female,3.9
25-29,Male,3.8
30-34,Female,4.8
30-34,Male,4.5
35-39,Female,4.4
35-39,Male,4.2
40-44,Female,3.7
40-44,Male,3.6
45-49,Female,3.1
45-49,Male,2.9
5-9,Female,3.6
5-9,Male,4.0
50-54,Female,3.1
50-54,Male,2.8
55-59,Female,3.2
55-59,Male,2.7
60-64,Female,3.1
60-64,Male,2.5
65-69,Female,2.1
65-69,Male,1.6
70-74,Female,1.2
70-74,Male,0.9
75-79,Female,0.6
75-79,Male,0.4
80-84,Female,0.5
80-84,Male,0.2
85-89,Female,0.3
85-89,Male,0.1
90-94,Female,0.1
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
