Category_1,Category_2,Percentage
0-4,Female,3.0
0-4,Male,3.1
10-14,Female,3.1
10-14,Male,3.2
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.6
15-19,Male,2.8
20-24,Female,2.5
20-24,Male,4.3
25-29,Female,3.5
25-29,Male,5.8
30-34,Female,4.0
30-34,Male,8.4
35-39,Female,3.8
35-39,Male,9.4
40-44,Female,3.2
40-44,Male,7.3
45-49,Female,2.6
45-49,Male,5.0
5-9,Female,3.3
5-9,Male,3.4
50-54,Female,1.9
50-54,Male,3.6
55-59,Female,1.6
55-59,Male,2.4
60-64,Female,1.2
60-64,Male,1.5
65-69,Female,0.8
65-69,Male,0.9
70-74,Female,0.4
70-74,Male,0.4
75-79,Female,0.3
75-79,Male,0.3
80-84,Female,0.2
80-84,Male,0.2
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
