Category_1,Category_2,Percentage
0-4,Female,4.7
0-4,Male,4.9
10-14,Female,4.6
10-14,Male,5.0
15-19,Female,5.0
15-19,Male,5.0
20-24,Female,5.0
20-24,Male,4.3
25-29,Female,4.8
25-29,Male,4.0
30-34,Female,4.0
30-34,Male,3.5
35-39,Female,3.9
35-39,Male,3.5
40-44,Female,3.2
40-44,Male,3.2
45-49,Female,2.5
45-49,Male,2.5
5-9,Female,4.4
5-9,Male,4.7
50-54,Female,2.2
50-54,Male,2.1
55-59,Female,1.8
55-59,Male,1.8
60-64,Female,1.4
60-64,Male,1.5
65-69,Female,1.1
65-69,Male,1.2
70-74,Female,0.9
70-74,Male,0.8
75-79,Female,0.6
75-79,Male,0.6
80-84,Female,0.4
80-84,Male,0.3
85+,Female,0.2
85+,Male,0.2
