Category_1,Category_2,Percentage
0-4,Female,4.2
0-4,Male,4.5
10-14,Female,4.3
10-14,Male,4.5
15-19,Female,4.7
15-19,Male,4.8
20-24,Female,4.8
20-24,Male,5.0
25-29,Female,4.6
25-29,Male,4.8
30-34,Female,4.3
30-34,Male,4.5
35-39,Female,3.8
35-39,Male,3.8
40-44,Female,3.2
40-44,Male,3.2
45-49,Female,2.7
45-49,Male,2.7
5-9,Female,4.6
5-9,Male,4.8
50-54,Female,2.4
50-54,Male,2.3
55-59,Female,1.9
55-59,Male,1.8
60-64,Female,1.5
60-64,Male,1.4
65-69,Female,1.0
65-69,Male,1.0
70-74,Female,0.7
70-74,Male,0.6
75-79,Female,0.4
75-79,Male,0.4
80-84,Female,0.2
80-84,Male,0.2
85+,Female,0.2
85+,Male,0.1
