Category_1,Category_2,Percentage
0-4,Female,3.0
0-4,Male,3.1
10-14,Female,3.9
10-14,Male,4.3
15-19,Female,4.2
15-19,Male,4.6
20-24,Female,4.4
20-24,Male,4.8
25-29,Female,4.3
25-29,Male,5.4
30-34,Female,4.6
30-34,Male,5.9
35-39,Female,4.0
35-39,Male,5.0
40-44,Female,3.4
40-44,Male,4.2
45-49,Female,2.6
45-49,Male,3.2
5-9,Female,3.4
5-9,Male,3.7
50-54,Female,2.1
50-54,Male,2.5
55-59,Female,1.8
55-59,Male,2.1
60-64,Female,1.5
60-64,Male,1.6
65-69,Female,1.2
65-69,Male,1.3
70-74,Female,0.8
70-74,Male,0.9
75-79,Female,0.6
75-79,Male,0.5
80-84,Female,0.3
80-84,Male,0.3
85+,Female,0.2
85+,Male,0.2
