Category_1,Category_2,Percentage
0-4,Female,2.0
0-4,Male,2.1
10-14,Female,2.3
10-14,Male,2.5
15-19,Female,2.5
15-19,Male,2.7
20-24,Female,2.6
20-24,Male,2.8
25-29,Female,2.4
25-29,Male,2.7
30-34,Female,2.5
30-34,Male,2.8
35-39,Female,3.2
35-39,Male,3.4
40-44,Female,3.9
40-44,Male,3.8
45-49,Female,4.0
45-49,Male,3.8
5-9,Female,2.1
5-9,Male,2.2
50-54,Female,3.4
50-54,Male,3.2
55-59,Female,3.9
55-59,Male,3.5
60-64,Female,4.3
60-64,Male,3.7
65-69,Female,4.0
65-69,Male,3.2
70-74,Female,3.3
70-74,Male,2.4
75-79,Female,2.2
75-79,Male,1.3
80-84,Female,1.8
80-84,Male,0.8
85+,Female,2.1
85+,Male,0.5
