Category_1,Category_2,Percentage
0-4,Female,3.3
0-4,Male,3.6
10-14,Female,3.3
10-14,Male,3.6
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.4
15-19,Male,3.7
20-24,Female,3.7
20-24,Male,4.2
25-29,Female,3.9
25-29,Male,5.0
30-34,Female,4.0
30-34,Male,5.1
35-39,Female,3.8
35-39,Male,5.0
40-44,Female,3.6
40-44,Male,4.6
45-49,Female,3.4
45-49,Male,3.9
5-9,Female,3.5
5-9,Male,3.7
50-54,Female,3.0
50-54,Male,3.3
55-59,Female,2.4
55-59,Male,2.5
60-64,Female,2.0
60-64,Male,2.0
65-69,Female,1.5
65-69,Male,1.4
70-74,Female,1.0
70-74,Male,0.9
75-79,Female,0.5
75-79,Male,0.4
80-84,Female,0.3
80-84,Male,0.3
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
