Category_1,Category_2,Percentage
0-4,Female,7.2
0-4,Male,7.4
10-14,Female,6.5
10-14,Male,6.7
15-19,Female,5.6
15-19,Male,5.7
20-24,Female,4.6
20-24,Male,4.7
25-29,Female,3.8
25-29,Male,3.8
30-34,Female,3.3
30-34,Male,3.2
35-39,Female,2.8
35-39,Male,2.8
40-44,Female,2.3
40-44,Male,2.3
45-49,Female,1.8
45-49,Male,1.7
5-9,Female,7.2
5-9,Male,7.4
50-54,Female,1.4
50-54,Male,1.3
55-59,Female,1.2
55-59,Male,1.0
60-64,Female,0.9
60-64,Male,0.7
65-69,Female,0.7
65-69,Male,0.5
70-74,Female,0.4
70-74,Male,0.3
75-79,Female,0.3
75-79,Male,0.2
80-84,Female,0.1
80-84,Male,0.1
85+,Female,0.0
85+,Male,0.0
