Category_1,Category_2,Percentage
0-4,Female,7.9
0-4,Male,8.0
10-14,Female,7.1
10-14,Male,7.1
100+,Female,0.0
100+,Male,0.0
15-19,Female,5.6
15-19,Male,5.6
20-24,Female,4.1
20-24,Male,4.1
25-29,Female,3.3
25-29,Male,3.3
30-34,Female,3.3
30-34,Male,3.2
35-39,Female,3.0
35-39,Male,2.9
40-44,Female,2.5
40-44,Male,2.4
45-49,Female,1.7
45-49,Male,1.6
5-9,Female,7.6
5-9,Male,7.7
50-54,Female,1.2
50-54,Male,1.2
55-59,Female,0.9
55-59,Male,0.8
60-64,Female,0.7
60-64,Male,0.6
65-69,Female,0.6
65-69,Male,0.5
70-74,Female,0.4
70-74,Male,0.3
75-79,Female,0.2
75-79,Male,0.2
80-84,Female,0.1
80-84,Male,0.1
85-89,Female,0.0
85-89,Male,0.0
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
