Category_1,Category_2,Percentage
0-4,Female,5.1
0-4,Male,5.3
10-14,Female,4.7
10-14,Male,4.9
100+,Female,0.0
100+,Male,0.0
15-19,Female,4.5
15-19,Male,4.7
20-24,Female,4.0
20-24,Male,3.9
25-29,Female,3.9
25-29,Male,3.8
30-34,Female,4.2
30-34,Male,4.1
35-39,Female,3.9
35-39,Male,3.8
40-44,Female,3.5
40-44,Male,3.4
45-49,Female,2.3
45-49,Male,2.2
5-9,Female,4.9
5-9,Male,5.2
50-54,Female,2.3
50-54,Male,2.1
55-59,Female,2.2
55-59,Male,1.9
60-64,Female,1.9
60-64,Male,1.5
65-69,Female,1.5
65-69,Male,1.0
70-74,Female,1.1
70-74,Male,0.7
75-79,Female,0.6
75-79,Male,0.4
80-84,Female,0.3
80-84,Male,0.2
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
