Category_1,Category_2,Percentage
0-4,Female,2.3
0-4,Male,2.5
10-14,Female,2.6
10-14,Male,2.7
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.7
15-19,Male,2.8
20-24,Female,3.0
20-24,Male,3.2
25-29,Female,3.3
25-29,Male,3.6
30-34,Female,3.5
30-34,Male,3.7
35-39,Female,3.5
35-39,Male,3.5
40-44,Female,3.4
40-44,Male,3.3
45-49,Female,3.1
45-49,Male,3.1
5-9,Female,2.5
5-9,Male,2.6
50-54,Female,3.1
50-54,Male,3.1
55-59,Female,3.3
55-59,Male,3.3
60-64,Female,3.4
60-64,Male,3.3
65-69,Female,3.1
65-69,Male,2.9
70-74,Female,2.6
70-74,Male,2.3
75-79,Female,2.0
75-79,Male,1.7
80-84,Female,1.3
80-84,Male,1.0
85-89,Female,0.8
85-89,Male,0.6
90-94,Female,0.5
90-94,Male,0.2
95-99,Female,0.2
95-99,Male,0.1
