Category_1,Category_2,Percentage
0-4,Female,9.1
0-4,Male,9.2
10-14,Female,7.4
10-14,Male,7.5
100+,Female,0.0
100+,Male,0.0
15-19,Female,6.3
15-19,Male,6.2
20-24,Female,5.3
20-24,Male,4.8
25-29,Female,3.9
25-29,Male,3.3
30-34,Female,2.8
30-34,Male,2.2
35-39,Female,2.1
35-39,Male,1.5
40-44,Female,1.6
40-44,Male,1.1
45-49,Female,1.2
45-49,Male,0.9
5-9,Female,7.9
5-9,Male,8.0
50-54,Female,1.3
50-54,Male,0.9
55-59,Female,1.1
55-59,Male,0.7
60-64,Female,0.9
60-64,Male,0.6
65-69,Female,0.6
65-69,Male,0.5
70-74,Female,0.3
70-74,Male,0.3
75-79,Female,0.2
75-79,Male,0.1
80-84,Female,0.1
80-84,Male,0.0
85-89,Female,0.0
85-89,Male,0.0
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
