Category_1,Category_2,Percentage
0-4,Female,2.4
0-4,Male,2.5
10-14,Female,3.1
10-14,Male,3.2
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.0
15-19,Male,3.1
20-24,Female,3.4
20-24,Male,3.5
25-29,Female,3.9
25-29,Male,4.0
30-34,Female,4.1
30-34,Male,4.2
35-39,Female,3.9
35-39,Male,3.9
40-44,Female,3.5
40-44,Male,3.6
45-49,Female,3.3
45-49,Male,3.4
5-9,Female,3.0
5-9,Male,3.1
50-54,Female,3.2
50-54,Male,3.2
55-59,Female,3.1
55-59,Male,3.0
60-64,Female,2.8
60-64,Male,2.6
65-69,Female,2.4
65-69,Male,2.2
70-74,Female,1.9
70-74,Male,1.7
75-79,Female,1.3
75-79,Male,1.1
80-84,Female,0.9
80-84,Male,0.7
85-89,Female,0.6
85-89,Male,0.4
90-94,Female,0.3
90-94,Male,0.2
95-99,Female,0.1
95-99,Male,0.1
