Category_1,Category_2,Percentage
0-4,Female,2.0
0-4,Male,2.1
10-14,Female,2.2
10-14,Male,2.4
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.0
15-19,Male,2.0
20-24,Female,3.3
20-24,Male,2.6
25-29,Female,4.0
25-29,Male,3.5
30-34,Female,5.3
30-34,Male,4.6
35-39,Female,5.4
35-39,Male,4.6
40-44,Female,4.4
40-44,Male,3.4
45-49,Female,3.9
45-49,Male,3.1
5-9,Female,2.6
5-9,Male,2.8
50-54,Female,4.1
50-54,Male,3.0
55-59,Female,3.9
55-59,Male,2.6
60-64,Female,3.7
60-64,Male,3.1
65-69,Female,3.0
65-69,Male,2.8
70-74,Female,1.9
70-74,Male,1.9
75-79,Female,1.0
75-79,Male,1.0
80-84,Female,0.5
80-84,Male,0.4
85-89,Female,0.4
85-89,Male,0.2
90-94,Female,0.2
90-94,Male,0.1
95-99,Female,0.1
95-99,Male,0.0
