Category_1,Category_2,Percentage
0-4,Female,1.6
0-4,Male,1.7
10-14,Female,2.0
10-14,Male,2.2
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.1
15-19,Male,2.3
20-24,Female,2.6
20-24,Male,2.8
25-29,Female,3.1
25-29,Male,3.3
30-34,Female,3.3
30-34,Male,3.5
35-39,Female,3.5
35-39,Male,3.6
40-44,Female,4.3
40-44,Male,4.3
45-49,Female,4.0
45-49,Male,3.9
5-9,Female,2.1
5-9,Male,2.3
50-54,Female,3.9
50-54,Male,3.8
55-59,Female,3.9
55-59,Male,3.8
60-64,Female,3.9
60-64,Male,3.7
65-69,Female,3.5
65-69,Male,3.2
70-74,Female,2.7
70-74,Male,2.4
75-79,Female,1.5
75-79,Male,1.2
80-84,Female,1.2
80-84,Male,0.9
85-89,Female,0.7
85-89,Male,0.5
90-94,Female,0.3
90-94,Male,0.2
95-99,Female,0.1
95-99,Male,0.1
