Category_1,Category_2,Percentage
0-4,Female,1.9
0-4,Male,2.2
10-14,Female,2.9
10-14,Male,3.4
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.6
15-19,Male,3.1
20-24,Female,2.6
20-24,Male,3.0
25-29,Female,2.8
25-29,Male,3.3
30-34,Female,3.7
30-34,Male,4.2
35-39,Female,3.8
35-39,Male,4.1
40-44,Female,3.4
40-44,Male,3.6
45-49,Female,3.4
45-49,Male,3.5
5-9,Female,2.9
5-9,Male,3.3
50-54,Female,4.3
50-54,Male,4.3
55-59,Female,4.0
55-59,Male,4.0
60-64,Female,2.7
60-64,Male,2.6
65-69,Female,2.8
65-69,Male,2.6
70-74,Female,2.2
70-74,Male,1.9
75-79,Female,1.3
75-79,Male,1.1
80-84,Female,0.8
80-84,Male,0.6
85-89,Female,0.5
85-89,Male,0.3
90-94,Female,0.2
90-94,Male,0.1
95-99,Female,0.0
95-99,Male,0.0
