Category_1,Category_2,Percentage
0-4,Female,3.3
0-4,Male,3.5
10-14,Female,3.5
10-14,Male,3.6
15-19,Female,3.8
15-19,Male,3.9
20-24,Female,4.2
20-24,Male,4.3
25-29,Female,4.4
25-29,Male,4.4
30-34,Female,4.2
30-34,Male,4.2
35-39,Female,3.8
35-39,Male,3.8
40-44,Female,3.5
40-44,Male,3.5
45-49,Female,3.2
45-49,Male,3.0
5-9,Female,3.3
5-9,Male,3.4
50-54,Female,3.0
50-54,Male,2.8
55-59,Female,2.8
55-59,Male,2.6
60-64,Female,2.5
60-64,Male,2.2
65-69,Female,1.9
65-69,Male,1.7
70-74,Female,1.4
70-74,Male,1.2
75-79,Female,0.9
75-79,Male,0.7
80-84,Female,0.6
80-84,Male,0.4
85+,Female,0.4
85+,Male,0.2
