Category_1,Category_2,Percentage
0-4,Female,6.6
0-4,Male,6.8
10-14,Female,5.6
10-14,Male,5.8
15-19,Female,4.9
15-19,Male,5.2
20-24,Female,4.5
20-24,Male,4.6
25-29,Female,3.7
25-29,Male,3.6
30-34,Female,3.5
30-34,Male,3.3
35-39,Female,3.1
35-39,Male,3.1
40-44,Female,2.7
40-44,Male,2.8
45-49,Female,2.2
45-49,Male,2.3
5-9,Female,6.2
5-9,Male,6.3
50-54,Female,1.7
50-54,Male,1.9
55-59,Female,1.4
55-59,Male,1.5
60-64,Female,1.1
60-64,Male,1.1
65-69,Female,0.9
65-69,Male,0.8
70-74,Female,0.7
70-74,Male,0.6
75-79,Female,0.5
75-79,Male,0.4
80-84,Female,0.3
80-84,Male,0.2
85+,Female,0.1
85+,Male,0.1
