Category_1,Category_2,Percentage
0-4,Female,2.2
0-4,Male,2.4
10-14,Female,2.8
10-14,Male,2.9
15-19,Female,2.6
15-19,Male,2.7
20-24,Female,3.0
20-24,Male,3.1
25-29,Female,3.0
25-29,Male,3.1
30-34,Female,3.4
30-34,Male,3.6
35-39,Female,3.3
35-39,Male,3.5
40-44,Female,2.7
40-44,Male,2.8
45-49,Female,3.5
45-49,Male,3.4
5-9,Female,2.6
5-9,Male,2.7
50-54,Female,4.5
50-54,Male,4.3
55-59,Female,4.6
55-59,Male,4.3
60-64,Female,3.6
60-64,Male,3.3
65-69,Female,2.6
65-69,Male,2.3
70-74,Female,2.3
70-74,Male,1.9
75-79,Female,1.8
75-79,Male,1.4
80-84,Female,1.2
80-84,Male,0.9
85+,Female,1.1
85+,Male,0.7
