Category_1,Category_2,Percentage
0-4,Female,2.5
0-4,Male,2.6
10-14,Female,2.6
10-14,Male,2.7
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.6
15-19,Male,2.7
20-24,Female,2.4
20-24,Male,2.5
25-29,Female,2.6
25-29,Male,2.8
30-34,Female,3.2
30-34,Male,3.4
35-39,Female,3.3
35-39,Male,3.5
40-44,Female,3.6
40-44,Male,3.8
45-49,Female,4.2
45-49,Male,4.4
5-9,Female,2.6
5-9,Male,2.7
50-54,Female,3.4
50-54,Male,3.6
55-59,Female,3.1
55-59,Male,3.2
60-64,Female,2.8
60-64,Male,2.7
65-69,Female,3.1
65-69,Male,2.8
70-74,Female,3.1
70-74,Male,2.5
75-79,Female,2.7
75-79,Male,1.9
80-84,Female,1.6
80-84,Male,1.0
85-89,Female,0.9
85-89,Male,0.4
90-94,Female,0.4
90-94,Male,0.1
95-99,Female,0.1
95-99,Male,0.0
