Category_1,Category_2,Percentage
0-4,Female,5.4
0-4,Male,5.6
10-14,Female,4.4
10-14,Male,4.1
15-19,Female,5.6
15-19,Male,4.6
20-24,Female,6.1
20-24,Male,5.9
25-29,Female,5.7
25-29,Male,5.8
30-34,Female,4.6
30-34,Male,4.7
35-39,Female,3.7
35-39,Male,3.8
40-44,Female,3.0
40-44,Male,3.1
45-49,Female,2.2
45-49,Male,2.4
5-9,Female,5.0
5-9,Male,5.1
50-54,Female,1.5
50-54,Male,1.8
55-59,Female,1.0
55-59,Male,1.2
60-64,Female,0.7
60-64,Male,0.7
65-69,Female,0.5
65-69,Male,0.5
70-74,Female,0.4
70-74,Male,0.3
75-79,Female,0.2
75-79,Male,0.2
80+,Female,0.1
80+,Male,0.1
