Category_1,Category_2,Percentage
0-4,Female,3.2
0-4,Male,3.3
10-14,Female,3.0
10-14,Male,3.1
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.1
15-19,Male,3.2
20-24,Female,3.4
20-24,Male,3.6
25-29,Female,3.7
25-29,Male,3.8
30-34,Female,3.6
30-34,Male,3.8
35-39,Female,3.4
35-39,Male,3.5
40-44,Female,3.1
40-44,Male,3.2
45-49,Female,3.2
45-49,Male,3.2
5-9,Female,3.1
5-9,Male,3.3
50-54,Female,4.2
50-54,Male,4.1
55-59,Female,3.7
55-59,Male,3.6
60-64,Female,2.9
60-64,Male,2.7
65-69,Female,2.3
65-69,Male,2.1
70-74,Female,1.5
70-74,Male,1.2
75-79,Female,1.5
75-79,Male,1.0
80-84,Female,1.1
80-84,Male,0.5
85-89,Female,0.5
85-89,Male,0.2
90-94,Female,0.1
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
