Category_1,Category_2,Percentage
0-4,Female,4.9
0-4,Male,5.0
10-14,Female,4.9
10-14,Male,5.0
100+,Female,0.0
100+,Male,0.0
15-19,Female,5.0
15-19,Male,5.1
20-24,Female,4.8
20-24,Male,4.9
25-29,Female,4.3
25-29,Male,4.3
30-34,Female,3.9
30-34,Male,3.9
35-39,Female,3.5
35-39,Male,3.4
40-44,Female,3.2
40-44,Male,3.1
45-49,Female,2.9
45-49,Male,2.7
5-9,Female,4.8
5-9,Male,5.0
50-54,Female,2.4
50-54,Male,2.3
55-59,Female,1.9
55-59,Male,1.7
60-64,Female,1.4
60-64,Male,1.3
65-69,Female,1.0
65-69,Male,0.9
70-74,Female,0.7
70-74,Male,0.6
75-79,Female,0.5
75-79,Male,0.4
80-84,Female,0.2
80-84,Male,0.2
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
