Category_1,Category_2,Percentage
0-4,Female,3.8
0-4,Male,4.0
10-14,Female,4.4
10-14,Male,4.6
100+,Female,0.0
100+,Male,0.0
15-19,Female,4.3
15-19,Male,4.5
20-24,Female,4.3
20-24,Male,4.4
25-29,Female,4.2
25-29,Male,4.3
30-34,Female,4.0
30-34,Male,4.1
35-39,Female,3.7
35-39,Male,3.7
40-44,Female,3.3
40-44,Male,3.3
45-49,Female,2.9
45-49,Male,2.9
5-9,Female,4.0
5-9,Male,4.2
50-54,Female,2.6
50-54,Male,2.5
55-59,Female,2.2
55-59,Male,2.1
60-64,Female,1.8
60-64,Male,1.7
65-69,Female,1.5
65-69,Male,1.4
70-74,Female,1.2
70-74,Male,1.0
75-79,Female,0.8
75-79,Male,0.7
80-84,Female,0.5
80-84,Male,0.4
85-89,Female,0.3
85-89,Male,0.2
90-94,Female,0.1
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
