Category_1,Category_2,Percentage
0-4,Female,5.0
0-4,Male,5.3
10-14,Female,5.2
10-14,Male,5.4
15-19,Female,4.5
15-19,Male,4.7
20-24,Female,4.1
20-24,Male,4.3
25-29,Female,3.7
25-29,Male,3.9
30-34,Female,3.7
30-34,Male,3.9
35-39,Female,3.5
35-39,Male,3.6
40-44,Female,3.1
40-44,Male,3.1
45-49,Female,2.6
45-49,Male,2.7
5-9,Female,5.7
5-9,Male,5.9
50-54,Female,2.2
50-54,Male,2.3
55-59,Female,1.9
55-59,Male,1.9
60-64,Female,1.6
60-64,Male,1.5
65-69,Female,1.2
65-69,Male,1.0
70-74,Female,0.8
70-74,Male,0.6
75-79,Female,0.5
75-79,Male,0.3
80-84,Female,0.2
80-84,Male,0.1
85+,Female,0.1
85+,Male,0.0
