Category_1,Category_2,Percentage
0-4,Female,3.8
0-4,Male,4.0
10-14,Female,4.3
10-14,Male,4.6
15-19,Female,4.3
15-19,Male,4.6
20-24,Female,4.8
20-24,Male,5.1
25-29,Female,4.9
25-29,Male,5.0
30-34,Female,4.1
30-34,Male,4.0
35-39,Female,3.4
35-39,Male,2.9
40-44,Female,3.3
40-44,Male,2.5
45-49,Female,3.2
45-49,Male,2.2
5-9,Female,4.1
5-9,Male,4.3
50-54,Female,2.8
50-54,Male,2.0
55-59,Female,2.5
55-59,Male,1.7
60-64,Female,2.0
60-64,Male,1.4
65-69,Female,1.6
65-69,Male,1.1
70-74,Female,1.3
70-74,Male,0.9
75-79,Female,0.9
75-79,Male,0.6
80-84,Female,0.6
80-84,Male,0.4
85+,Female,0.4
85+,Male,0.2
