Category_1,Category_2,Percentage
0-4,Female,6.8
0-4,Male,6.9
10-14,Female,5.6
10-14,Male,5.7
100+,Female,0.0
100+,Male,0.0
15-19,Female,4.6
15-19,Male,4.8
20-24,Female,3.6
20-24,Male,4.0
25-29,Female,3.4
25-29,Male,3.9
30-34,Female,3.5
30-34,Male,4.2
35-39,Female,3.1
35-39,Male,4.2
40-44,Female,2.4
40-44,Male,3.4
45-49,Female,1.9
45-49,Male,2.7
5-9,Female,6.2
5-9,Male,6.3
50-54,Female,1.6
50-54,Male,2.1
55-59,Female,1.4
55-59,Male,1.6
60-64,Female,1.1
60-64,Male,1.2
65-69,Female,0.8
65-69,Male,0.8
70-74,Female,0.6
70-74,Male,0.5
75-79,Female,0.3
75-79,Male,0.3
80-84,Female,0.2
80-84,Male,0.1
85-89,Female,0.1
85-89,Male,0.0
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
