Category_1,Category_2,Percentage
0-4,Female,2.1
0-4,Male,2.2
10-14,Female,2.8
10-14,Male,2.9
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.7
15-19,Male,2.8
20-24,Female,2.6
20-24,Male,2.8
25-29,Female,2.9
25-29,Male,3.1
30-34,Female,3.2
30-34,Male,3.4
35-39,Female,3.1
35-39,Male,3.4
40-44,Female,3.1
40-44,Male,3.3
45-49,Female,3.0
45-49,Male,3.1
5-9,Female,2.5
5-9,Male,2.6
50-54,Female,2.9
50-54,Male,2.9
55-59,Female,3.3
55-59,Male,3.3
60-64,Female,3.3
60-64,Male,3.2
65-69,Female,3.3
65-69,Male,3.0
70-74,Female,3.3
70-74,Male,2.9
75-79,Female,2.8
75-79,Male,2.3
80-84,Female,1.8
80-84,Male,1.3
85-89,Female,1.2
85-89,Male,0.7
90-94,Female,0.6
90-94,Male,0.2
95-99,Female,0.2
95-99,Male,0.0
