Category_1,Category_2,Percentage
0-4,Female,5.4
0-4,Male,5.5
10-14,Female,5.1
10-14,Male,5.1
100+,Female,0.0
100+,Male,0.0
15-19,Female,4.8
15-19,Male,4.9
20-24,Female,4.0
20-24,Male,3.6
25-29,Female,3.5
25-29,Male,2.8
30-34,Female,3.6
30-34,Male,3.1
35-39,Female,3.7
35-39,Male,3.1
40-44,Female,3.4
40-44,Male,2.9
45-49,Female,2.8
45-49,Male,2.5
5-9,Female,5.1
5-9,Male,5.0
50-54,Female,2.8
50-54,Male,2.4
55-59,Female,2.3
55-59,Male,2.1
60-64,Female,1.8
60-64,Male,1.8
65-69,Female,1.3
65-69,Male,1.3
70-74,Female,1.0
70-74,Male,0.9
75-79,Female,0.6
75-79,Male,0.6
80-84,Female,0.4
80-84,Male,0.3
85-89,Female,0.2
85-89,Male,0.1
90-94,Female,0.1
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
