Category_1,Category_2,Percentage
0-4,Female,6.6
0-4,Male,6.7
10-14,Female,5.5
10-14,Male,5.5
100+,Female,0.0
100+,Male,0.0
15-19,Female,4.6
15-19,Male,4.6
20-24,Female,4.0
20-24,Male,4.1
25-29,Female,3.8
25-29,Male,3.9
30-34,Female,3.7
30-34,Male,4.0
35-39,Female,3.4
35-39,Male,3.8
40-44,Female,2.8
40-44,Male,3.2
45-49,Female,2.3
45-49,Male,2.5
5-9,Female,6.1
5-9,Male,6.2
50-54,Female,1.8
50-54,Male,1.9
55-59,Female,1.4
55-59,Male,1.5
60-64,Female,1.1
60-64,Male,1.1
65-69,Female,0.8
65-69,Male,0.8
70-74,Female,0.6
70-74,Male,0.5
75-79,Female,0.4
75-79,Male,0.3
80-84,Female,0.2
80-84,Male,0.2
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
