Category_1,Category_2,Percentage
0-4,Female,1.9
0-4,Male,2.0
10-14,Female,2.5
10-14,Male,2.6
15-19,Female,2.5
15-19,Male,2.7
20-24,Female,2.4
20-24,Male,2.7
25-29,Female,2.4
25-29,Male,2.7
30-34,Female,2.6
30-34,Male,2.7
35-39,Female,2.9
35-39,Male,2.9
40-44,Female,3.7
40-44,Male,3.7
45-49,Female,3.8
45-49,Male,3.7
5-9,Female,2.2
5-9,Male,2.3
50-54,Female,3.9
50-54,Male,3.7
55-59,Female,3.8
55-59,Male,3.5
60-64,Female,3.6
60-64,Male,3.1
65-69,Female,3.3
65-69,Male,2.8
70-74,Female,2.9
70-74,Male,2.5
75-79,Female,2.6
75-79,Male,2.0
80-84,Female,2.0
80-84,Male,1.4
85+,Female,2.6
85+,Male,1.4
