Category_1,Category_2,Percentage
0-4,Female,5.1
0-4,Male,5.3
10-14,Female,5.3
10-14,Male,5.4
15-19,Female,5.2
15-19,Male,5.3
20-24,Female,5.0
20-24,Male,5.1
25-29,Female,4.6
25-29,Male,4.7
30-34,Female,4.1
30-34,Male,4.1
35-39,Female,3.4
35-39,Male,3.4
40-44,Female,2.8
40-44,Male,2.7
45-49,Female,2.3
45-49,Male,2.1
5-9,Female,5.5
5-9,Male,5.6
50-54,Female,1.8
50-54,Male,1.6
55-59,Female,1.5
55-59,Male,1.3
60-64,Female,1.3
60-64,Male,1.0
65-69,Female,1.0
65-69,Male,0.8
70-74,Female,0.7
70-74,Male,0.6
75-79,Female,0.5
75-79,Male,0.4
80-84,Female,0.3
80-84,Male,0.2
85+,Female,0.1
85+,Male,0.1
