Category_1,Category_2,Percentage
0-4,Female,7.5
0-4,Male,7.7
10-14,Female,6.1
10-14,Male,6.2
100+,Female,0.0
100+,Male,0.0
15-19,Female,5.3
15-19,Male,5.5
20-24,Female,4.7
20-24,Male,4.8
25-29,Female,4.2
25-29,Male,4.3
30-34,Female,3.5
30-34,Male,3.5
35-39,Female,2.8
35-39,Male,2.6
40-44,Female,2.2
40-44,Male,1.9
45-49,Female,1.8
45-49,Male,1.5
5-9,Female,6.8
5-9,Male,6.9
50-54,Female,1.5
50-54,Male,1.2
55-59,Female,1.3
55-59,Male,1.1
60-64,Female,1.0
60-64,Male,0.8
65-69,Female,0.8
65-69,Male,0.6
70-74,Female,0.6
70-74,Male,0.4
75-79,Female,0.4
75-79,Male,0.3
80-84,Female,0.2
80-84,Male,0.1
85-89,Female,0.1
85-89,Male,0.0
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
