Category_1,Category_2,Percentage
0-4,Female,4.9
0-4,Male,5.1
10-14,Female,4.6
10-14,Male,4.8
100+,Female,0.0
100+,Male,0.0
15-19,Female,4.2
15-19,Male,4.4
20-24,Female,4.4
20-24,Male,4.6
25-29,Female,4.6
25-29,Male,4.5
30-34,Female,3.9
30-34,Male,3.5
35-39,Female,3.1
35-39,Male,2.7
40-44,Female,2.9
40-44,Male,2.6
45-49,Female,2.9
45-49,Male,2.6
5-9,Female,4.9
5-9,Male,5.0
50-54,Female,2.7
50-54,Male,2.4
55-59,Female,2.4
55-59,Male,2.1
60-64,Female,2.0
60-64,Male,1.7
65-69,Female,1.5
65-69,Male,1.2
70-74,Female,1.0
70-74,Male,0.7
75-79,Female,0.6
75-79,Male,0.5
80-84,Female,0.3
80-84,Male,0.2
85-89,Female,0.2
85-89,Male,0.1
90-94,Female,0.1
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
