Category_1,Category_2,Percentage
0-4,Female,5.3
0-4,Male,5.4
10-14,Female,5.2
10-14,Male,5.2
15-19,Female,4.9
15-19,Male,5.0
20-24,Female,4.7
20-24,Male,4.7
25-29,Female,4.4
25-29,Male,4.4
30-34,Female,4.1
30-34,Male,4.0
35-39,Female,3.5
35-39,Male,3.5
40-44,Female,3.0
40-44,Male,2.9
45-49,Female,2.5
45-49,Male,2.4
5-9,Female,5.2
5-9,Male,5.3
50-54,Female,2.1
50-54,Male,2.0
55-59,Female,1.7
55-59,Male,1.6
60-64,Female,1.4
60-64,Male,1.2
65-69,Female,1.1
65-69,Male,0.9
70-74,Female,0.8
70-74,Male,0.6
75-79,Female,0.5
75-79,Male,0.3
80-84,Female,0.2
80-84,Male,0.2
85+,Female,0.1
85+,Male,0.1
