Category_1,Category_2,Percentage
0-4,Female,5.2
0-4,Male,5.5
10-14,Female,4.9
10-14,Male,5.1
15-19,Female,4.9
15-19,Male,5.1
20-24,Female,4.8
20-24,Male,5.0
25-29,Female,4.5
25-29,Male,4.6
30-34,Female,4.0
30-34,Male,4.1
35-39,Female,3.5
35-39,Male,3.6
40-44,Female,3.1
40-44,Male,3.1
45-49,Female,2.5
45-49,Male,2.5
5-9,Female,5.0
5-9,Male,5.2
50-54,Female,2.0
50-54,Male,1.9
55-59,Female,1.6
55-59,Male,1.4
60-64,Female,1.2
60-64,Male,1.1
65-69,Female,1.0
65-69,Male,0.8
70-74,Female,0.7
70-74,Male,0.6
75-79,Female,0.4
75-79,Male,0.3
80-84,Female,0.2
80-84,Male,0.1
85+,Female,0.1
85+,Male,0.1
