Category_1,Category_2,Percentage
0-4,Female,2.3
0-4,Male,2.5
10-14,Female,2.4
10-14,Male,2.5
15-19,Female,2.5
15-19,Male,2.6
20-24,Female,2.5
20-24,Male,2.7
25-29,Female,2.9
25-29,Male,3.1
30-34,Female,3.2
30-34,Male,3.4
35-39,Female,3.1
35-39,Male,3.3
40-44,Female,3.6
40-44,Male,3.7
45-49,Female,4.3
45-49,Male,4.4
5-9,Female,2.4
5-9,Male,2.5
50-54,Female,3.7
50-54,Male,3.7
55-59,Female,3.2
55-59,Male,3.0
60-64,Female,3.1
60-64,Male,2.6
65-69,Female,3.8
65-69,Male,2.9
70-74,Female,3.3
70-74,Male,2.2
75-79,Female,2.5
75-79,Male,1.5
80-84,Female,1.8
80-84,Male,0.9
85+,Female,1.5
85+,Male,0.6
