Category_1,Category_2,Percentage
0-4,Female,2.9
0-4,Male,3.1
10-14,Female,3.1
10-14,Male,3.2
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.1
15-19,Male,3.2
20-24,Female,3.3
20-24,Male,3.3
25-29,Female,3.8
25-29,Male,4.1
30-34,Female,3.9
30-34,Male,4.5
35-39,Female,3.3
35-39,Male,3.8
40-44,Female,3.3
40-44,Male,3.7
45-49,Female,3.0
45-49,Male,3.2
5-9,Female,2.8
5-9,Male,2.9
50-54,Female,2.8
50-54,Male,3.0
55-59,Female,2.9
55-59,Male,2.9
60-64,Female,2.7
60-64,Male,2.7
65-69,Female,2.4
65-69,Male,2.4
70-74,Female,2.0
70-74,Male,2.0
75-79,Female,1.5
75-79,Male,1.4
80-84,Female,1.0
80-84,Male,0.8
85-89,Female,0.6
85-89,Male,0.5
90-94,Female,0.3
90-94,Male,0.2
95-99,Female,0.1
95-99,Male,0.0
