Category_1,Category_2,Percentage
0-4,Female,3.8
0-4,Male,4.1
10-14,Female,4.2
10-14,Male,4.6
15-19,Female,4.2
15-19,Male,4.7
20-24,Female,4.3
20-24,Male,4.7
25-29,Female,4.1
25-29,Male,4.5
30-34,Female,3.9
30-34,Male,4.3
35-39,Female,3.7
35-39,Male,4.0
40-44,Female,3.3
40-44,Male,3.5
45-49,Female,2.9
45-49,Male,3.0
5-9,Female,4.0
5-9,Male,4.3
50-54,Female,2.5
50-54,Male,2.6
55-59,Female,2.1
55-59,Male,2.2
60-64,Female,1.8
60-64,Male,1.8
65-69,Female,1.4
65-69,Male,1.4
70-74,Female,1.0
70-74,Male,0.9
75-79,Female,0.6
75-79,Male,0.5
80-84,Female,0.3
80-84,Male,0.3
85+,Female,0.2
85+,Male,0.2
