Category_1,Category_2,Percentage
0-4,Female,3.9
0-4,Male,4.1
10-14,Female,4.2
10-14,Male,4.4
15-19,Female,4.0
15-19,Male,4.2
20-24,Female,3.8
20-24,Male,4.0
25-29,Female,3.8
25-29,Male,4.0
30-34,Female,3.7
30-34,Male,3.8
35-39,Female,3.6
35-39,Male,3.8
40-44,Female,3.6
40-44,Male,3.7
45-49,Female,3.3
45-49,Male,3.4
5-9,Female,4.1
5-9,Male,4.3
50-54,Female,3.0
50-54,Male,3.0
55-59,Female,2.6
55-59,Male,2.5
60-64,Female,2.1
60-64,Male,2.0
65-69,Female,1.6
65-69,Male,1.4
70-74,Female,1.0
70-74,Male,0.8
75-79,Female,0.7
75-79,Male,0.5
80-84,Female,0.4
80-84,Male,0.3
85+,Female,0.2
85+,Male,0.1
