Category_1,Category_2,Percentage
0-4,Female,3.3
0-4,Male,3.5
10-14,Female,3.7
10-14,Male,3.9
15-19,Female,3.3
15-19,Male,3.5
20-24,Female,3.1
20-24,Male,3.3
25-29,Female,3.4
25-29,Male,3.6
30-34,Female,4.5
30-34,Male,4.7
35-39,Female,5.0
35-39,Male,5.1
40-44,Female,4.3
40-44,Male,4.5
45-49,Female,3.3
45-49,Male,3.4
5-9,Female,4.1
5-9,Male,4.3
50-54,Female,2.8
50-54,Male,2.9
55-59,Female,2.3
55-59,Male,2.3
60-64,Female,2.0
60-64,Male,2.0
65-69,Female,1.5
65-69,Male,1.5
70-74,Female,1.2
70-74,Male,1.2
75-79,Female,0.7
75-79,Male,0.7
80-84,Female,0.4
80-84,Male,0.3
85+,Female,0.2
85+,Male,0.1
