Category_1,Category_2,Percentage
0-4,Female,2.8
0-4,Male,2.9
10-14,Female,3.4
10-14,Male,3.6
15-19,Female,3.2
15-19,Male,3.4
20-24,Female,3.1
20-24,Male,3.2
25-29,Female,2.9
25-29,Male,3.0
30-34,Female,3.0
30-34,Male,3.0
35-39,Female,3.6
35-39,Male,3.3
40-44,Female,4.1
40-44,Male,3.9
45-49,Female,3.8
45-49,Male,3.7
5-9,Female,3.1
5-9,Male,3.2
50-54,Female,3.4
50-54,Male,3.3
55-59,Female,3.0
55-59,Male,3.0
60-64,Female,2.8
60-64,Male,2.7
65-69,Female,2.4
65-69,Male,2.3
70-74,Female,2.0
70-74,Male,1.9
75-79,Female,1.6
75-79,Male,1.5
80-84,Female,1.1
80-84,Male,0.9
85+,Female,1.1
85+,Male,0.7
