Category_1,Category_2,Percentage
0-4,Female,4.6
0-4,Male,4.9
10-14,Female,4.3
10-14,Male,4.5
15-19,Female,3.9
15-19,Male,4.1
20-24,Female,3.6
20-24,Male,3.8
25-29,Female,3.4
25-29,Male,3.5
30-34,Female,3.2
30-34,Male,3.3
35-39,Female,3.1
35-39,Male,3.1
40-44,Female,3.0
40-44,Male,3.0
45-49,Female,2.9
45-49,Male,2.8
5-9,Female,4.6
5-9,Male,4.8
50-54,Female,2.6
50-54,Male,2.5
55-59,Female,2.2
55-59,Male,2.1
60-64,Female,2.1
60-64,Male,1.9
65-69,Female,2.0
65-69,Male,1.7
70-74,Female,1.8
70-74,Male,1.5
75-79,Female,1.3
75-79,Male,1.1
80-84,Female,0.8
80-84,Male,0.6
85+,Female,1.0
85+,Male,0.6
