Category_1,Category_2,Percentage
0-4,Female,2.9
0-4,Male,3.0
10-14,Female,3.5
10-14,Male,3.6
15-19,Female,3.9
15-19,Male,4.1
20-24,Female,4.1
20-24,Male,4.3
25-29,Female,4.6
25-29,Male,4.8
30-34,Female,4.5
30-34,Male,4.6
35-39,Female,4.1
35-39,Male,4.2
40-44,Female,3.7
40-44,Male,3.7
45-49,Female,3.3
45-49,Male,3.2
5-9,Female,3.1
5-9,Male,3.2
50-54,Female,3.0
50-54,Male,2.8
55-59,Female,2.9
55-59,Male,2.5
60-64,Female,2.6
60-64,Male,2.1
65-69,Female,1.8
65-69,Male,1.4
70-74,Female,1.1
70-74,Male,0.9
75-79,Female,0.8
75-79,Male,0.6
80-84,Female,0.4
80-84,Male,0.3
85+,Female,0.3
85+,Male,0.2
