Category_1,Category_2,Percentage
0-4,Female,1.6
0-4,Male,1.7
10-14,Female,2.1
10-14,Male,2.2
100+,Female,0.1
100+,Male,0.0
15-19,Female,2.2
15-19,Male,2.3
20-24,Female,2.4
20-24,Male,2.5
25-29,Female,2.4
25-29,Male,2.5
30-34,Female,2.4
30-34,Male,2.5
35-39,Female,2.7
35-39,Male,2.8
40-44,Female,3.0
40-44,Male,3.1
45-49,Female,3.7
45-49,Male,3.8
5-9,Female,1.9
5-9,Male,2.0
50-54,Female,3.8
50-54,Male,3.9
55-59,Female,3.2
55-59,Male,3.3
60-64,Female,3.0
60-64,Male,3.0
65-69,Female,3.0
65-69,Male,2.9
70-74,Female,3.7
70-74,Male,3.4
75-79,Female,3.4
75-79,Male,2.9
80-84,Female,2.8
80-84,Male,2.1
85-89,Female,2.0
85-89,Male,1.2
90-94,Female,1.1
90-94,Male,0.5
95-99,Female,0.4
95-99,Male,0.1
