Category_1,Category_2,Percentage
0-4,Female,5.0
0-4,Male,5.2
10-14,Female,5.3
10-14,Male,5.4
15-19,Female,4.8
15-19,Male,4.9
20-24,Female,4.3
20-24,Male,4.4
25-29,Female,4.2
25-29,Male,4.6
30-34,Female,3.7
30-34,Male,4.3
35-39,Female,3.3
35-39,Male,3.7
40-44,Female,2.9
40-44,Male,3.2
45-49,Female,2.5
45-49,Male,2.8
5-9,Female,5.1
5-9,Male,5.3
50-54,Female,2.2
50-54,Male,2.5
55-59,Female,1.7
55-59,Male,2.0
60-64,Female,1.3
60-64,Male,1.4
65-69,Female,0.9
65-69,Male,0.9
70-74,Female,0.6
70-74,Male,0.6
75-79,Female,0.4
75-79,Male,0.3
80-84,Female,0.2
80-84,Male,0.2
85+,Female,0.1
85+,Male,0.1
