Category_1,Category_2,Percentage
0-4,Female,6.3
0-4,Male,6.4
10-14,Female,6.2
10-14,Male,6.2
100+,Female,0.0
100+,Male,0.0
15-19,Female,5.7
15-19,Male,5.7
20-24,Female,5.0
20-24,Male,4.8
25-29,Female,4.2
25-29,Male,4.0
30-34,Female,3.7
30-34,Male,3.6
35-39,Female,3.1
35-39,Male,3.2
40-44,Female,2.5
40-44,Male,2.6
45-49,Female,2.0
45-49,Male,2.0
5-9,Female,6.1
5-9,Male,6.2
50-54,Female,1.6
50-54,Male,1.6
55-59,Female,1.3
55-59,Male,1.2
60-64,Female,0.9
60-64,Male,0.9
65-69,Female,0.6
65-69,Male,0.5
70-74,Female,0.4
70-74,Male,0.3
75-79,Female,0.3
75-79,Male,0.2
80-84,Female,0.2
80-84,Male,0.1
85-89,Female,0.1
85-89,Male,0.0
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
