Category_1,Category_2,Percentage
0-4,Female,2.9
0-4,Male,3.1
10-14,Female,4.1
10-14,Male,4.3
15-19,Female,4.2
15-19,Male,4.2
20-24,Female,4.4
20-24,Male,4.5
25-29,Female,3.8
25-29,Male,3.9
30-34,Female,3.8
30-34,Male,3.9
35-39,Female,3.5
35-39,Male,3.6
40-44,Female,3.4
40-44,Male,3.3
45-49,Female,3.5
45-49,Male,3.1
5-9,Female,3.3
5-9,Male,3.6
50-54,Female,3.3
50-54,Male,2.8
55-59,Female,2.8
55-59,Male,2.5
60-64,Female,2.4
60-64,Male,2.1
65-69,Female,1.9
65-69,Male,1.7
70-74,Female,1.5
70-74,Male,1.1
75-79,Female,1.0
75-79,Male,0.8
80-84,Female,0.6
80-84,Male,0.4
85+,Female,0.4
85+,Male,0.2
