Category_1,Category_2,Percentage
0-4,Female,2.7
0-4,Male,2.8
10-14,Female,3.2
10-14,Male,3.4
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.7
15-19,Male,2.9
20-24,Female,2.3
20-24,Male,2.6
25-29,Female,3.1
25-29,Male,6.1
30-34,Female,3.6
30-34,Male,7.0
35-39,Female,4.5
35-39,Male,8.5
40-44,Female,4.0
40-44,Male,8.0
45-49,Female,3.2
45-49,Male,6.0
5-9,Female,3.2
5-9,Male,3.3
50-54,Female,2.4
50-54,Male,4.5
55-59,Female,1.6
55-59,Male,3.0
60-64,Female,1.0
60-64,Male,1.6
65-69,Female,0.6
65-69,Male,0.8
70-74,Female,0.4
70-74,Male,0.4
75-79,Female,0.2
75-79,Male,0.2
80-84,Female,0.1
80-84,Male,0.1
85-89,Female,0.1
85-89,Male,0.0
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
