Category_1,Category_2,Percentage
0-4,Female,2.2
0-4,Male,2.4
10-14,Female,2.6
10-14,Male,2.7
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.6
15-19,Male,2.7
20-24,Female,2.3
20-24,Male,2.4
25-29,Female,2.3
25-29,Male,2.5
30-34,Female,3.3
30-34,Male,3.5
35-39,Female,3.6
35-39,Male,3.8
40-44,Female,3.3
40-44,Male,3.4
45-49,Female,3.4
45-49,Male,3.3
5-9,Female,2.8
5-9,Male,3.0
50-54,Female,3.6
50-54,Male,3.3
55-59,Female,3.6
55-59,Male,3.1
60-64,Female,4.0
60-64,Male,3.1
65-69,Female,3.7
65-69,Male,2.5
70-74,Female,3.3
70-74,Male,1.9
75-79,Female,2.5
75-79,Male,1.2
80-84,Female,2.5
80-84,Male,0.9
85-89,Female,1.4
85-89,Male,0.5
90-94,Female,0.6
90-94,Male,0.2
95-99,Female,0.1
95-99,Male,0.0
