Category_1,Category_2,Percentage
0-4,Female,3.8
0-4,Male,4.0
10-14,Female,4.8
10-14,Male,5.0
100+,Female,0.0
100+,Male,0.0
15-19,Female,4.3
15-19,Male,4.7
20-24,Female,3.9
20-24,Male,4.3
25-29,Female,3.6
25-29,Male,3.4
30-34,Female,3.4
30-34,Male,2.7
35-39,Female,3.3
35-39,Male,2.9
40-44,Female,3.2
40-44,Male,2.8
45-49,Female,3.0
45-49,Male,2.5
5-9,Female,4.4
5-9,Male,4.7
50-54,Female,3.0
50-54,Male,2.6
55-59,Female,2.8
55-59,Male,2.5
60-64,Female,2.4
60-64,Male,2.1
65-69,Female,1.9
65-69,Male,1.6
70-74,Female,1.4
70-74,Male,1.3
75-79,Female,1.0
75-79,Male,0.8
80-84,Female,0.7
80-84,Male,0.4
85-89,Female,0.4
85-89,Male,0.2
90-94,Female,0.1
90-94,Male,0.1
95-99,Female,0.0
95-99,Male,0.0
