Category_1,Category_2,Percentage
0-4,Female,6.9
0-4,Male,7.1
10-14,Female,6.3
10-14,Male,6.4
15-19,Female,5.6
15-19,Male,5.7
20-24,Female,4.6
20-24,Male,4.7
25-29,Female,3.7
25-29,Male,3.8
30-34,Female,3.2
30-34,Male,3.1
35-39,Female,2.9
35-39,Male,2.8
40-44,Female,2.5
40-44,Male,2.4
45-49,Female,2.0
45-49,Male,1.9
5-9,Female,6.5
5-9,Male,6.7
50-54,Female,1.6
50-54,Male,1.5
55-59,Female,1.4
55-59,Male,1.2
60-64,Female,1.1
60-64,Male,0.9
65-69,Female,0.8
65-69,Male,0.7
70-74,Female,0.5
70-74,Male,0.4
75-79,Female,0.3
75-79,Male,0.3
80-84,Female,0.1
80-84,Male,0.1
85+,Female,0.1
85+,Male,0.0
