Category_1,Category_2,Percentage
0-4,Female,2.7
0-4,Male,2.8
10-14,Female,2.5
10-14,Male,2.6
15-19,Female,3.6
15-19,Male,3.4
20-24,Female,5.3
20-24,Male,4.9
25-29,Female,4.0
25-29,Male,3.9
30-34,Female,3.9
30-34,Male,3.8
35-39,Female,3.5
35-39,Male,3.4
40-44,Female,2.9
40-44,Male,2.8
45-49,Female,2.7
45-49,Male,2.7
5-9,Female,2.7
5-9,Male,2.8
50-54,Female,3.1
50-54,Male,2.9
55-59,Female,3.3
55-59,Male,3.0
60-64,Female,2.9
60-64,Male,2.7
65-69,Female,2.4
65-69,Male,2.2
70-74,Female,2.2
70-74,Male,2.0
75-79,Female,1.5
75-79,Male,1.2
80-84,Female,1.2
80-84,Male,0.9
85+,Female,1.2
85+,Male,0.6
