Category_1,Category_2,Percentage
0-4,Female,2.5
0-4,Male,2.6
10-14,Female,2.6
10-14,Male,2.7
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.5
15-19,Male,2.7
20-24,Female,2.8
20-24,Male,3.0
25-29,Female,3.6
25-29,Male,3.8
30-34,Female,3.9
30-34,Male,4.1
35-39,Female,3.9
35-39,Male,4.0
40-44,Female,3.8
40-44,Male,3.9
45-49,Female,3.5
45-49,Male,3.6
5-9,Female,2.6
5-9,Male,2.7
50-54,Female,3.5
50-54,Male,3.6
55-59,Female,3.3
55-59,Male,3.6
60-64,Female,2.9
60-64,Male,3.0
65-69,Female,2.4
65-69,Male,2.3
70-74,Female,1.9
70-74,Male,1.8
75-79,Female,1.5
75-79,Male,1.3
80-84,Female,1.1
80-84,Male,0.8
85-89,Female,0.8
85-89,Male,0.5
90-94,Female,0.4
90-94,Male,0.2
95-99,Female,0.1
95-99,Male,0.0
