Category_1,Category_2,Percentage
0-4,Female,3.1
0-4,Male,3.3
10-14,Female,3.8
10-14,Male,4.1
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.9
15-19,Male,4.2
20-24,Female,4.1
20-24,Male,4.6
25-29,Female,4.1
25-29,Male,4.9
30-34,Female,4.1
30-34,Male,4.9
35-39,Female,4.0
35-39,Male,4.7
40-44,Female,3.5
40-44,Male,4.1
45-49,Female,2.8
45-49,Male,3.2
5-9,Female,3.9
5-9,Male,4.1
50-54,Female,2.5
50-54,Male,2.6
55-59,Female,2.2
55-59,Male,2.2
60-64,Female,1.9
60-64,Male,1.9
65-69,Female,1.5
65-69,Male,1.5
70-74,Female,1.1
70-74,Male,1.0
75-79,Female,0.6
75-79,Male,0.6
80-84,Female,0.4
80-84,Male,0.3
85-89,Female,0.2
85-89,Male,0.1
90-94,Female,0.1
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
