Category_1,Category_2,Percentage
0-4,Female,2.8
0-4,Male,3.0
10-14,Female,3.4
10-14,Male,4.0
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.7
15-19,Male,3.1
20-24,Female,2.5
20-24,Male,4.2
25-29,Female,3.4
25-29,Male,8.2
30-34,Female,4.0
30-34,Male,9.5
35-39,Female,4.0
35-39,Male,8.4
40-44,Female,2.9
40-44,Male,5.9
45-49,Female,2.2
45-49,Male,3.8
5-9,Female,3.2
5-9,Male,3.6
50-54,Female,1.9
50-54,Male,2.6
55-59,Female,1.5
55-59,Male,1.9
60-64,Female,1.3
60-64,Male,1.5
65-69,Female,0.8
65-69,Male,1.0
70-74,Female,0.5
70-74,Male,0.5
75-79,Female,0.4
75-79,Male,0.4
80-84,Female,0.2
80-84,Male,0.2
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
