Category_1,Category_2,Percentage
0-4,Female,8.7
0-4,Male,8.8
10-14,Female,6.7
10-14,Male,6.8
15-19,Female,5.6
15-19,Male,5.7
20-24,Female,4.4
20-24,Male,4.5
25-29,Female,3.4
25-29,Male,3.5
30-34,Female,2.9
30-34,Male,3.0
35-39,Female,2.5
35-39,Male,2.6
40-44,Female,2.1
40-44,Male,2.2
45-49,Female,1.6
45-49,Male,1.7
5-9,Female,7.6
5-9,Male,7.8
50-54,Female,1.2
50-54,Male,1.2
55-59,Female,0.9
55-59,Male,0.9
60-64,Female,0.7
60-64,Male,0.6
65-69,Female,0.5
65-69,Male,0.5
70-74,Female,0.4
70-74,Male,0.3
75-79,Female,0.2
75-79,Male,0.2
80-84,Female,0.1
80-84,Male,0.1
85+,Female,0.0
85+,Male,0.0
