Category_1,Category_2,Percentage
0-4,Female,2.3
0-4,Male,2.3
10-14,Female,2.8
10-14,Male,2.8
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.9
15-19,Male,3.0
20-24,Female,2.4
20-24,Male,2.4
25-29,Female,2.2
25-29,Male,1.8
30-34,Female,2.8
30-34,Male,2.1
35-39,Female,3.0
35-39,Male,2.1
40-44,Female,2.9
40-44,Male,2.1
45-49,Female,3.2
45-49,Male,2.4
5-9,Female,2.5
5-9,Male,2.5
50-54,Female,4.3
50-54,Male,3.3
55-59,Female,5.0
55-59,Male,3.9
60-64,Female,4.7
60-64,Male,4.1
65-69,Female,4.0
65-69,Male,3.4
70-74,Female,3.3
70-74,Male,2.7
75-79,Female,2.5
75-79,Male,2.0
80-84,Female,1.8
80-84,Male,1.3
85-89,Female,1.3
85-89,Male,0.8
90-94,Female,0.6
90-94,Male,0.3
95-99,Female,0.2
95-99,Male,0.1
